"","plot","date","year","genus","species","nInd","nFlower","tag_list","field.est.abundance","url","sp.code"
"27","ECR5",2022-03-15,"2022","Crocanthemum",NA,NA,NA,"2, ECR5","","https://www.inaturalist.org/observations/108709959","Crocanthemum"
"28","ECR5",2022-03-15,"2022","Salvia","mellifera",NA,NA,"4, ECR5","","https://www.inaturalist.org/observations/108709985","Salvia.mellifera"
"29","MTS1A",2022-03-16,"2022","Ferocactus","viridescens",NA,NA,"2, SWS1A","","https://www.inaturalist.org/observations/108772286","Ferocactus.viridescens"
"30","SWI4",2022-03-16,"2022","Phacelia","cicutaria",NA,NA,"2, SWI4","","https://www.inaturalist.org/observations/108780009","Phacelia.cicutaria"
"31","SWS1A",2022-03-17,"2022","Bahiopsis","laciniata",NA,NA,"2, SWS1A","","https://www.inaturalist.org/observations/108855183","Bahiopsis.laciniata"
"32","SWS1A",2022-03-17,"2022","Eriogonum","fasciculatum",NA,NA,"4, SWS1A","","https://www.inaturalist.org/observations/108855215","Eriogonum.fasciculatum"
"33","SWI4",2022-03-17,"2022","Oxalis",NA,NA,NA,"1, SWI4","","https://www.inaturalist.org/observations/108855475","Oxalis"
"34","SWS10",2022-03-17,"2022","Parkinsonia","aculeata",NA,NA,"2, SWS10","","https://www.inaturalist.org/observations/108855484","Parkinsonia.aculeata"
"35","SWS10",2022-03-17,"2022","Erodium","botrys",NA,NA,"2, SWS10","","https://www.inaturalist.org/observations/108855526","Erodium.botrys"
"36","SWS1A",2022-03-17,"2022","Bahiopsis","laciniata",NA,NA,"2, SWS1A","","https://www.inaturalist.org/observations/108855554","Bahiopsis.laciniata"
"37","MTE4",2022-03-20,"2022","Eriophyllum","confertiflorum",NA,NA,"3, MTE4","","https://www.inaturalist.org/observations/109124166","Eriophyllum.confertiflorum"
"38","MTE4",2022-03-20,"2022","Bahiopsis","laciniata",NA,NA,"3, MTE4","","https://www.inaturalist.org/observations/109124174","Bahiopsis.laciniata"
"39","MTE4",2022-03-20,"2022","Salvia","mellifera",NA,NA,"4, MTE4","","https://www.inaturalist.org/observations/109124203","Salvia.mellifera"
"40","MTE3",2022-03-20,"2022","Cleomella","arborea",NA,NA,"2, MTE3","","https://www.inaturalist.org/observations/109124291","Cleomella.arborea"
"41","MTE3",2022-03-20,"2022","Bahiopsis","laciniata",NA,NA,"2, MTE3","","https://www.inaturalist.org/observations/109124318","Bahiopsis.laciniata"
"42","MTE3",2022-03-20,"2022","Acmispon","glaber",NA,NA,"3, MTE3","","https://www.inaturalist.org/observations/109124330","Acmispon.glaber"
"43","MTE3",2022-03-20,"2022","Salvia","mellifera",NA,NA,"4, MTE3","","https://www.inaturalist.org/observations/109124340","Salvia.mellifera"
"44","MTS1A",2022-03-19,"2022","Scrophularia","californica",NA,NA,"3, MTS1A","","https://www.inaturalist.org/observations/109124397","Scrophularia.californica"
"45","MTS1A",2022-03-19,"2022","Eucrypta","chrysanthemifolia",NA,NA,"1, MTS1A","","https://www.inaturalist.org/observations/109124434","Eucrypta.chrysanthemifolia"
"46","MTS1A",2022-03-19,"2022","Eriogonum","fasciculatum",NA,NA,"4, MTS1A","","https://www.inaturalist.org/observations/109124442","Eriogonum.fasciculatum"
"47","MTI2",2022-03-19,"2022","Eschscholzia","californica",NA,NA,"2, MTE2","","https://www.inaturalist.org/observations/109124456","Eschscholzia.californica"
"48","MTI2",2022-03-19,"2022","Euphorbia","polycarpa",NA,NA,"1, MTE2","","https://www.inaturalist.org/observations/109124513","Euphorbia.polycarpa"
"49",NA,2022-03-21,"2022","Ferocactus","viridescens",NA,NA,"1, SWS3","","https://www.inaturalist.org/observations/109204159","Ferocactus.viridescens"
"50","SWS3",2022-03-21,"2022","Cryptantha",NA,NA,NA,"3, SWS3","","https://www.inaturalist.org/observations/109204189","Cryptantha"
"51","SWS3",2022-03-21,"2022","Camissoniopsis",NA,NA,NA,"2, SWS3","","https://www.inaturalist.org/observations/109204233","Camissoniopsis"
"52","SWS3",2022-03-21,"2022","Salvia","mellifera",NA,NA,"4, SWS3","","https://www.inaturalist.org/observations/109204254","Salvia.mellifera"
"53","SWS3",2022-03-21,"2022","Cleomella","arborea",NA,NA,"2, SWS3","","https://www.inaturalist.org/observations/109204266","Cleomella.arborea"
"54","SWS3",2022-03-21,"2022","Acmispon","glaber",NA,NA,"3, SWS3","","https://www.inaturalist.org/observations/109204274","Acmispon.glaber"
"55","SWS3",2022-03-21,"2022","Calystegia","macrostegia",NA,NA,"2, SWS3","","https://www.inaturalist.org/observations/109204290","Calystegia.macrostegia"
"56","MTS6",2022-03-21,"2022","Encelia","californica",NA,NA,"1, MTS6","","https://www.inaturalist.org/observations/109204319","Encelia.californica"
"57","MTS2",2022-04-05,"2022","Erodium","cicutarium",NA,NA,"MTS2","","https://www.inaturalist.org/observations/110505157","Erodium.cicutarium"
"58","MTS2",2022-04-05,"2022","Chaenactis","glabriuscula",NA,NA,"MTS2","","https://www.inaturalist.org/observations/110505568","Chaenactis.glabriuscula"
"59","MTS2",2022-04-05,"2022","Cryptantha","intermedia",NA,NA,"MTS2","","https://www.inaturalist.org/observations/110505656","Cryptantha.intermedia"
"60","MTS2",2022-04-05,"2022","Erodium","botrys",NA,NA,"MTS2","","https://www.inaturalist.org/observations/110505721","Erodium.botrys"
"61","MTS2",2022-04-05,"2022","Camissoniopsis","bistorta",NA,NA,"MTS2","","https://www.inaturalist.org/observations/110505873","Camissoniopsis.bistorta"
"62","MTS2",2022-04-05,"2022","Hirschfeldia","incana",NA,NA,"MTS2","","https://www.inaturalist.org/observations/110506334","Hirschfeldia.incana"
"63","MTS2",2022-04-05,"2022","Lysimachia","arvensis",NA,NA,"MTS2","","https://www.inaturalist.org/observations/110506592","Lysimachia.arvensis"
"64","MTS2",2022-04-05,"2022","Acmispon","glaber",NA,NA,"MTS2","","https://www.inaturalist.org/observations/110506820","Acmispon.glaber"
"65","MTS2",2022-04-05,"2022","",NA,NA,NA,"MTS2","","https://www.inaturalist.org/observations/110507805",""
"66","MTS2",2022-04-05,"2022","Raphanus","raphanistrum",NA,NA,"MTS2","","https://www.inaturalist.org/observations/110508827","Raphanus.raphanistrum"
"67","ECR4",2022-04-05,"2022","Salvia","columbariae",NA,NA,"1, ECR4","","https://www.inaturalist.org/observations/110547237","Salvia.columbariae"
"68","SWI4",2022-04-06,"2022","Erodium","botrys",NA,NA,"2, SWI4","","https://www.inaturalist.org/observations/110587800","Erodium.botrys"
"69","SWEA",2022-04-06,"2022","Phacelia","cicutaria",NA,NA,"3, SWEA","","https://www.inaturalist.org/observations/110627826","Phacelia.cicutaria"
"70","SWEA",2022-04-06,"2022","Euphorbia","polycarpa",NA,NA,"2, SWEA","","https://www.inaturalist.org/observations/110627864","Euphorbia.polycarpa"
"71","MTI2",2022-04-07,"2022","Euphorbia","polycarpa",NA,NA,"1, MTE2","","https://www.inaturalist.org/observations/110717712","Euphorbia.polycarpa"
"72","MTI2",2022-04-07,"2022","Eschscholzia","californica",NA,NA,"2, MTE2","","https://www.inaturalist.org/observations/110717760","Eschscholzia.californica"
"73","MTI2",2022-04-07,"2022","Phacelia","cicutaria",NA,NA,"3, MTE2","","https://www.inaturalist.org/observations/110717796","Phacelia.cicutaria"
"74","MTE3",2022-04-07,"2022","Bahiopsis","laciniata",NA,NA,"2, MTE3","","https://www.inaturalist.org/observations/110726181","Bahiopsis.laciniata"
"75","MTE3",2022-04-07,"2022","Malacothamnus","fasciculatus",NA,NA,"1, MTE3","","https://www.inaturalist.org/observations/110726304","Malacothamnus.fasciculatus"
"76",NA,2022-04-07,"2022","Ferocactus","viridescens",NA,NA,"MTE3","","https://www.inaturalist.org/observations/110726333","Ferocactus.viridescens"
"77","MTS2",2022-04-05,"2022","Cryptantha",NA,NA,NA,"MTS2","","https://www.inaturalist.org/observations/111045491","Cryptantha"
"78","MTS2",2022-04-05,"2022","Erodium","cicutarium",NA,NA,"MTS2","","https://www.inaturalist.org/observations/111045492","Erodium.cicutarium"
"79","MTS2",2022-04-05,"2022","Dipterostemon","capitatus",NA,NA,"MTS2","","https://www.inaturalist.org/observations/111045495","Dipterostemon.capitatus"
"80","MTS2",2022-04-05,"2022","Erodium",NA,NA,NA,"MTS2","","https://www.inaturalist.org/observations/111045496","Erodium"
"81","MTS2",2022-04-05,"2022","Erodium","cicutarium",NA,NA,"MTS2","","https://www.inaturalist.org/observations/111045497","Erodium.cicutarium"
"82","MTS2",2022-04-05,"2022","Deinandra","fasciculata",NA,NA,"MTS2","","https://www.inaturalist.org/observations/111045498","Deinandra.fasciculata"
"83","MTS2",2022-04-05,"2022","Hirschfeldia","incana",NA,NA,"MTS2","","https://www.inaturalist.org/observations/111045499","Hirschfeldia.incana"
"84","MTS2",2022-04-05,"2022","Erodium","botrys",NA,NA,"MTS2","","https://www.inaturalist.org/observations/111045502","Erodium.botrys"
"85","MTS2",2022-04-05,"2022","Camissoniopsis",NA,NA,NA,"MTS2","","https://www.inaturalist.org/observations/111045504","Camissoniopsis"
"86","MTS2",2022-04-05,"2022","Cryptantha",NA,NA,NA,"MTS2","","https://www.inaturalist.org/observations/111045505","Cryptantha"
"87","MTS2",2022-04-05,"2022","Hirschfeldia","incana",NA,NA,"MTS2","","https://www.inaturalist.org/observations/111045509","Hirschfeldia.incana"
"88","MTS2",2022-04-05,"2022","Chaenactis","glabriuscula",NA,NA,"MTS2","","https://www.inaturalist.org/observations/111045510","Chaenactis.glabriuscula"
"89","MTS2",2022-04-05,"2022","Erodium","botrys",NA,NA,"MTS2","","https://www.inaturalist.org/observations/111045511","Erodium.botrys"
"90","MTS2",2022-04-05,"2022","Hypochaeris","glabra",NA,NA,"MTS2","","https://www.inaturalist.org/observations/111045514","Hypochaeris.glabra"
"91","MTS2",2022-04-05,"2022","Salvia","mellifera",NA,NA,"MTS2","","https://www.inaturalist.org/observations/111045515","Salvia.mellifera"
"92","SWS10",2022-04-11,"2022","Hirschfeldia","incana",NA,NA,"4, SWS10","","https://www.inaturalist.org/observations/111163868","Hirschfeldia.incana"
"93","SWS10",2022-04-11,"2022","Erodium","botrys",NA,NA,"2, SWS10","","https://www.inaturalist.org/observations/111163903","Erodium.botrys"
"94","SWS10",2022-04-11,"2022","Prunus",NA,NA,NA,"1, SWS10","","https://www.inaturalist.org/observations/111163929","Prunus"
"95","SWS10",2022-04-11,"2022","Acmispon","glaber",NA,NA,"2, SWS10","","https://www.inaturalist.org/observations/111164010","Acmispon.glaber"
"96","SWS10",2022-04-11,"2022","Eriogonum","fasciculatum",NA,NA,"3, SWS10","","https://www.inaturalist.org/observations/111164037","Eriogonum.fasciculatum"
"97","SWS10",2022-04-11,"2022","Limonium","sinuatum",NA,NA,"4, SWS10","","https://www.inaturalist.org/observations/111164069","Limonium.sinuatum"
"98","SWS3",2022-04-11,"2022","Euphorbia","polycarpa",NA,NA,"1, SWS3","","https://www.inaturalist.org/observations/111164257","Euphorbia.polycarpa"
"99","SWS3",2022-04-11,"2022","Acmispon","glaber",NA,NA,"2, SWS3","","https://www.inaturalist.org/observations/111164529","Acmispon.glaber"
"100","SWS3",2022-04-11,"2022","Corethrogyne","filaginifolia",NA,NA,"1, SWS3","","https://www.inaturalist.org/observations/111164578","Corethrogyne.filaginifolia"
"101","SWS3",2022-04-11,"2022","Calochortus","splendens",NA,NA,"2, SWS3","","https://www.inaturalist.org/observations/111164615","Calochortus.splendens"
"102","SWS3",2022-04-11,"2022","Salvia","mellifera",NA,NA,"4, SWS3","","https://www.inaturalist.org/observations/111164633","Salvia.mellifera"
"103","SWS3",2022-04-11,"2022","Eriogonum","fasciculatum",NA,NA,"4, SWS3","","https://www.inaturalist.org/observations/111164650","Eriogonum.fasciculatum"
"104","SWS3",2022-04-11,"2022","Camissoniopsis",NA,NA,NA,"1, SWS3","","https://www.inaturalist.org/observations/111164672","Camissoniopsis"
"105",NA,2022-04-11,"2022","Salvia","apiana",NA,NA,"2, SWS3","","https://www.inaturalist.org/observations/111164694","Salvia.apiana"
"106","MTS1A",2022-04-12,"2022","Sairocarpus","nuttallianus",NA,NA,"","","https://www.inaturalist.org/observations/111230816","Sairocarpus.nuttallianus"
"107","MTS1A",2022-04-12,"2022","Rhus","integrifolia",NA,NA,"1, MTS1A","","https://www.inaturalist.org/observations/111269198","Rhus.integrifolia"
"108","SWS1A",2022-04-12,"2022","Eriogonum","fasciculatum",NA,NA,"4, SWS1A","","https://www.inaturalist.org/observations/111269399","Eriogonum.fasciculatum"
"109","SWI4",2022-04-06,"2022","Erodium","brachycarpum",NA,NA,"SWEA","","https://www.inaturalist.org/observations/111422603","Erodium.brachycarpum"
"110","SWI4",2022-04-06,"2022","Hirschfeldia","incana",NA,NA,"SWEA","","https://www.inaturalist.org/observations/111422769","Hirschfeldia.incana"
"111","SWI4",2022-04-06,"2022","Phacelia","cicutaria",NA,NA,"SWEA","","https://www.inaturalist.org/observations/111422798","Phacelia.cicutaria"
"112","MTS6",2022-04-08,"2022","Acmispon","glaber",NA,NA,"","","https://www.inaturalist.org/observations/111568027","Acmispon.glaber"
"113","MTS6",2022-04-08,"2022","Eriogonum","fasciculatum",NA,NA,"","","https://www.inaturalist.org/observations/111568085","Eriogonum.fasciculatum"
"114","MTS6",2022-04-08,"2022","Opuntia",NA,NA,NA,"","","https://www.inaturalist.org/observations/111568139","Opuntia"
"115","MTS6",2022-04-08,"2022","Eriogonum","fasciculatum",NA,NA,"","","https://www.inaturalist.org/observations/111568179","Eriogonum.fasciculatum"
"116","MTS6",2022-04-08,"2022","Opuntia",NA,NA,NA,"","","https://www.inaturalist.org/observations/111568321","Opuntia"
"117","MTS6",2022-04-08,"2022","Deinandra","fasciculata",NA,NA,"","","https://www.inaturalist.org/observations/111568629","Deinandra.fasciculata"
"118","MTS6",2022-04-08,"2022","Opuntia",NA,NA,NA,"","","https://www.inaturalist.org/observations/111568690","Opuntia"
"119","MTS6",2022-04-08,"2022","Salvia","mellifera",NA,NA,"","","https://www.inaturalist.org/observations/111569445","Salvia.mellifera"
"120","MTS6",2022-04-08,"2022","Cryptantha",NA,NA,NA,"","","https://www.inaturalist.org/observations/111569646","Cryptantha"
"121","MTS6",2022-04-08,"2022","Acmispon","glaber",NA,NA,"","","https://www.inaturalist.org/observations/111570045","Acmispon.glaber"
"122","MTS6",2022-04-08,"2022","Eriophyllum","confertiflorum",NA,NA,"","","https://www.inaturalist.org/observations/111570576","Eriophyllum.confertiflorum"
"123","MTS6",2022-04-08,"2022","Eriogonum","fasciculatum",NA,NA,"","","https://www.inaturalist.org/observations/111570684","Eriogonum.fasciculatum"
"124","MTS6",2022-04-08,"2022","Rhus","integrifolia",NA,NA,"","","https://www.inaturalist.org/observations/111570810","Rhus.integrifolia"
"125","MTS6",2022-04-08,"2022","Dudleya","pulverulenta",NA,NA,"","","https://www.inaturalist.org/observations/111570963","Dudleya.pulverulenta"
"126","MTS6",2022-04-08,"2022","Acmispon","glaber",NA,NA,"","","https://www.inaturalist.org/observations/111571046","Acmispon.glaber"
"127","MTS6",2022-04-08,"2022","Camissoniopsis",NA,NA,NA,"","","https://www.inaturalist.org/observations/111571120","Camissoniopsis"
"128","MTS6",2022-04-08,"2022","",NA,NA,NA,"","","https://www.inaturalist.org/observations/111571191",""
"129","MTS6",2022-04-08,"2022","Diplacus","puniceus",NA,NA,"","","https://www.inaturalist.org/observations/111571277","Diplacus.puniceus"
"130","MTS6",2022-04-08,"2022","Sonchus",NA,NA,NA,"","","https://www.inaturalist.org/observations/111571366","Sonchus"
"131","MTS7",2022-04-08,"2022","Bahiopsis","laciniata",NA,NA,"","","https://www.inaturalist.org/observations/111571422","Bahiopsis.laciniata"
"132","MTS7",2022-04-08,"2022","Calystegia","macrostegia",NA,NA,"","","https://www.inaturalist.org/observations/111571553","Calystegia.macrostegia"
"133","MTS7",2022-04-08,"2022","Hirschfeldia","incana",NA,NA,"","","https://www.inaturalist.org/observations/111571592","Hirschfeldia.incana"
"134","MTS7",2022-04-08,"2022","Salvia","mellifera",NA,NA,"","","https://www.inaturalist.org/observations/111571660","Salvia.mellifera"
"135","MTS7",2022-04-08,"2022","Solanum","parishii",NA,NA,"","","https://www.inaturalist.org/observations/111571688","Solanum.parishii"
"136","MTS7",2022-04-08,"2022","Cylindropuntia","prolifera",NA,NA,"","","https://www.inaturalist.org/observations/111571746","Cylindropuntia.prolifera"
"137","MTS7",2022-04-08,"2022","Opuntia","ficus-indica",NA,NA,"","","https://www.inaturalist.org/observations/111571802","Opuntia.ficus-indica"
"138","MTS7",2022-04-08,"2022","Hirschfeldia","incana",NA,NA,"","","https://www.inaturalist.org/observations/111571855","Hirschfeldia.incana"
"139","MTS7",2022-04-08,"2022","Eriogonum","fasciculatum",NA,NA,"","","https://www.inaturalist.org/observations/111571908","Eriogonum.fasciculatum"
"140","MTS7",2022-04-08,"2022","Diplacus","puniceus",NA,NA,"","","https://www.inaturalist.org/observations/111572005","Diplacus.puniceus"
"141","MTS7",2022-04-08,"2022","Lysimachia","arvensis",NA,NA,"","","https://www.inaturalist.org/observations/111572098","Lysimachia.arvensis"
"142","MTS7",2022-04-08,"2022","Eriodictyon","crassifolium",NA,NA,"","","https://www.inaturalist.org/observations/111572144","Eriodictyon.crassifolium"
"143","MTS7",2022-04-08,"2022","Pseudognaphalium","biolettii",NA,NA,"","","https://www.inaturalist.org/observations/111572185","Pseudognaphalium.biolettii"
"144","MTS7",2022-04-08,"2022","Solanum","parishii",NA,NA,"","","https://www.inaturalist.org/observations/111572277","Solanum.parishii"
"145","MTS7",2022-04-08,"2022","Glebionis","coronaria",NA,NA,"","","https://www.inaturalist.org/observations/111572380","Glebionis.coronaria"
"146","MTS2",2022-04-05,"2022","Solanum","parishii",NA,NA,"MTS2","","https://www.inaturalist.org/observations/111886126","Solanum.parishii"
"147","MTS2",2022-04-05,"2022","Erodium","cicutarium",NA,NA,"MTS2","","https://www.inaturalist.org/observations/111886127","Erodium.cicutarium"
"148","MTS2",2022-04-05,"2022","Daucus","pusillus",NA,NA,"MTS2","","https://www.inaturalist.org/observations/111886128","Daucus.pusillus"
"149","MTS2",2022-04-05,"2022","Sonchus","oleraceus",NA,NA,"MTS2","","https://www.inaturalist.org/observations/111886132","Sonchus.oleraceus"
"150","MTS2",2022-04-05,"2022","Cryptantha",NA,NA,NA,"MTS2","","https://www.inaturalist.org/observations/111886133","Cryptantha"
"151","MTS2",2022-04-05,"2022","Daucus","pusillus",NA,NA,"MTS2","","https://www.inaturalist.org/observations/111886134","Daucus.pusillus"
"152","MTS2",2022-04-05,"2022","Chaenactis","glabriuscula",NA,NA,"MTS2","","https://www.inaturalist.org/observations/111886138","Chaenactis.glabriuscula"
"153","ECR4",2022-04-05,"2022","Salvia","mellifera",NA,NA,"ECR4","","https://www.inaturalist.org/observations/111888280","Salvia.mellifera"
"154","ECR4",2022-04-05,"2022","Adenostoma","fasciculatum",NA,NA,"ECR4","","https://www.inaturalist.org/observations/111888281","Adenostoma.fasciculatum"
"155","ECR4",2022-04-05,"2022","Dipterostemon","capitatus",NA,NA,"ECR4","","https://www.inaturalist.org/observations/111888283","Dipterostemon.capitatus"
"156","ECR4",2022-04-05,"2022","Cryptantha",NA,NA,NA,"ECR4","","https://www.inaturalist.org/observations/111888286","Cryptantha"
"157","ECR4",2022-04-05,"2022","Dipterostemon","capitatus",NA,NA,"ECR4","","https://www.inaturalist.org/observations/111888287","Dipterostemon.capitatus"
"158","ECR4",2022-04-05,"2022","Eriogonum","fasciculatum",NA,NA,"ECR4","","https://www.inaturalist.org/observations/111888291","Eriogonum.fasciculatum"
"159","ECR4",2022-04-05,"2022","Calochortus","splendens",NA,NA,"ECR4","","https://www.inaturalist.org/observations/111888296","Calochortus.splendens"
"160","ECR4",2022-04-05,"2022","Cryptantha",NA,NA,NA,"ECR4","","https://www.inaturalist.org/observations/111888297","Cryptantha"
"161","ECR4",2022-04-05,"2022","Acmispon","glaber",NA,NA,"ECR4","","https://www.inaturalist.org/observations/111888300","Acmispon.glaber"
"162","ECR4",2022-04-05,"2022","Adenostoma","fasciculatum",NA,NA,"ECR4","","https://www.inaturalist.org/observations/111888302","Adenostoma.fasciculatum"
"163","ECR4",2022-04-05,"2022","Cneoridium","dumosum",NA,NA,"ECR4","","https://www.inaturalist.org/observations/111888304","Cneoridium.dumosum"
"164","ECR4",2022-04-05,"2022","Daucus","pusillus",NA,NA,"ECR4","","https://www.inaturalist.org/observations/111888308","Daucus.pusillus"
"165","ECR4",2022-04-05,"2022","Diplacus","puniceus",NA,NA,"ECR4","","https://www.inaturalist.org/observations/111888309","Diplacus.puniceus"
"166","ECR4",2022-04-05,"2022","Calochortus","splendens",NA,NA,"ECR4","","https://www.inaturalist.org/observations/111888310","Calochortus.splendens"
"167","ECR4",2022-04-05,"2022","Acmispon","glaber",NA,NA,"ECR4","","https://www.inaturalist.org/observations/111888311","Acmispon.glaber"
"168","ECR4",2022-04-05,"2022","Uropappus","lindleyi",NA,NA,"ECR4","","https://www.inaturalist.org/observations/111888312","Uropappus.lindleyi"
"169","ECR4",2022-04-05,"2022","Lysimachia","arvensis",NA,NA,"ECR4","","https://www.inaturalist.org/observations/111888313","Lysimachia.arvensis"
"170","ECR5",2022-04-05,"2022","Eriogonum","fasciculatum",NA,NA,"ECR5","","https://www.inaturalist.org/observations/111888819","Eriogonum.fasciculatum"
"171","ECR5",2022-04-05,"2022","Acmispon","glaber",NA,NA,"ECR5","","https://www.inaturalist.org/observations/111888821","Acmispon.glaber"
"172","ECR5",2022-04-05,"2022","Salvia","mellifera",NA,NA,"ECR5","","https://www.inaturalist.org/observations/111888822","Salvia.mellifera"
"173","ECR5",2022-04-05,"2022","Dipterostemon","capitatus",NA,NA,"ECR5","","https://www.inaturalist.org/observations/111888823","Dipterostemon.capitatus"
"174","ECR5",2022-04-05,"2022","Eriodictyon","crassifolium",NA,NA,"ECR5","","https://www.inaturalist.org/observations/111888824","Eriodictyon.crassifolium"
"175","ECR5",2022-04-05,"2022","Eriogonum","fasciculatum",NA,NA,"ECR5","","https://www.inaturalist.org/observations/111888825","Eriogonum.fasciculatum"
"176","ECR5",2022-04-05,"2022","Cryptantha",NA,NA,NA,"ECR5","","https://www.inaturalist.org/observations/111888826","Cryptantha"
"177","ECR5",2022-04-05,"2022","Dipterostemon","capitatus",NA,NA,"ECR5","","https://www.inaturalist.org/observations/111888827","Dipterostemon.capitatus"
"178","ECR5",2022-04-05,"2022","Hesperoyucca","whipplei",NA,NA,"ECR5","","https://www.inaturalist.org/observations/111888828","Hesperoyucca.whipplei"
"179","ECR5",2022-04-05,"2022","Chlorogalum","pomeridianum",NA,NA,"ECR5","","https://www.inaturalist.org/observations/111888829","Chlorogalum.pomeridianum"
"180","ECR5",2022-04-05,"2022","Adenostoma","fasciculatum",NA,NA,"ECR5","","https://www.inaturalist.org/observations/111888830","Adenostoma.fasciculatum"
"181","MTS2",2022-04-18,"2022","Lonicera","subspicata",NA,NA,"2, MTS2","","https://www.inaturalist.org/observations/111988798","Lonicera.subspicata"
"182","MTS2",2022-04-18,"2022","Camissoniopsis",NA,NA,NA,"2, MTS2","","https://www.inaturalist.org/observations/111988854","Camissoniopsis"
"183","MTS2",2022-04-16,"2022","Cryptantha",NA,NA,NA,"2, MTS2","","https://www.inaturalist.org/observations/111988876","Cryptantha"
"184","MTS2",2022-04-18,"2022","Deinandra","fasciculata",NA,NA,"3, MTS2","","https://www.inaturalist.org/observations/111988968","Deinandra.fasciculata"
"185","MTS2",2022-04-18,"2022","Salvia","mellifera",NA,NA,"4, MTS2","","https://www.inaturalist.org/observations/111989013","Salvia.mellifera"
"186","MTS2",2022-04-18,"2022","Hirschfeldia","incana",NA,NA,"4, MTS2","","https://www.inaturalist.org/observations/111989044","Hirschfeldia.incana"
