"fieldNumber","year","station_id","same_precip","previous_precip"
"SWS1A",2023,"USC00042706",497.4,191.8
"SWS1A",2024,"USC00042706",394.4,497.4
"CFS1",2000,"USW00003131",133,153.4
"CFS1",2001,"USW00003131",156.9,133
"CFS1",2002,"USW00003131",68.7,156.9
"CFS1",2003,"USW00003131",223.7,68.7
"CFS1",2004,"USW00003131",135,223.7
"CFS1",2005,"USW00003131",397.7,135
"CFS1",2006,"USW00003131",125.9,397.7
"CFS1",2007,"USW00003131",115.5,125.9
"CFS1",2008,"USW00003131",227.2,115.5
"CFS1",2009,"USW00003131",285.2,227.2
"CFS1",2010,"USW00003131",310.1,285.2
"CFS1",2011,"USW00003131",331.9,310.1
"CFS1",2012,"USW00003131",179.1,331.9
"CFS1",2013,"USW00003131",168,179.1
"CFS1",2014,"USW00003131",77.4,168
"CFS1",2015,"USW00003131",65.2,77.4
"CFS1",2016,"USW00003131",232.9,65.2
"CFS1",2017,"USW00003131",385.2,232.9
"CFS1",2018,"USW00003131",90.8,385.2
"CFS1",2019,"USW00003131",290.7,90.8
"CFS1",2020,"USW00003131",232.8,290.7
"CFS1",2021,"USW00003131",143.3,232.8
"CFS1",2022,"USW00003131",138.4,143.3
"CFS1",2023,"USW00003131",398.8,138.4
"CFS1",2024,"USW00003131",306.4,398.8
"MTLB1",2000,"USW00003131",133,153.4
"MTLB1",2001,"USW00003131",156.9,133
"MTLB1",2002,"USW00003131",68.7,156.9
"MTLB1",2003,"USW00003131",223.7,68.7
"MTLB1",2004,"USW00003131",135,223.7
"MTLB1",2005,"USW00003131",397.7,135
"MTLB1",2006,"USW00003131",125.9,397.7
"MTLB1",2007,"USW00003131",115.5,125.9
"MTLB1",2008,"USW00003131",227.2,115.5
"MTLB1",2009,"USW00003131",285.2,227.2
"MTLB1",2010,"USW00003131",310.1,285.2
"MTLB1",2011,"USW00003131",331.9,310.1
"MTLB1",2012,"USW00003131",179.1,331.9
"MTLB1",2013,"USW00003131",168,179.1
"MTLB1",2014,"USW00003131",77.4,168
"MTLB1",2015,"USW00003131",65.2,77.4
"MTLB1",2016,"USW00003131",232.9,65.2
"MTLB1",2017,"USW00003131",385.2,232.9
"MTLB1",2018,"USW00003131",90.8,385.2
"MTLB1",2019,"USW00003131",290.7,90.8
"MTLB1",2020,"USW00003131",232.8,290.7
"MTLB1",2021,"USW00003131",143.3,232.8
"MTLB1",2022,"USW00003131",138.4,143.3
"MTLB1",2023,"USW00003131",398.8,138.4
"MTLB1",2024,"USW00003131",306.4,398.8
"MTS1A",2000,"USW00003131",133,153.4
"MTS1A",2001,"USW00003131",156.9,133
"MTS1A",2002,"USW00003131",68.7,156.9
"MTS1A",2003,"USW00003131",223.7,68.7
"MTS1A",2004,"USW00003131",135,223.7
"MTS1A",2005,"USW00003131",397.7,135
"MTS1A",2006,"USW00003131",125.9,397.7
"MTS1A",2007,"USW00003131",115.5,125.9
"MTS1A",2008,"USW00003131",227.2,115.5
"MTS1A",2009,"USW00003131",285.2,227.2
"MTS1A",2010,"USW00003131",310.1,285.2
"MTS1A",2011,"USW00003131",331.9,310.1
"MTS1A",2012,"USW00003131",179.1,331.9
"MTS1A",2013,"USW00003131",168,179.1
"MTS1A",2014,"USW00003131",77.4,168
"MTS1A",2015,"USW00003131",65.2,77.4
"MTS1A",2016,"USW00003131",232.9,65.2
"MTS1A",2017,"USW00003131",385.2,232.9
"MTS1A",2018,"USW00003131",90.8,385.2
"MTS1A",2019,"USW00003131",290.7,90.8
"MTS1A",2020,"USW00003131",232.8,290.7
"MTS1A",2021,"USW00003131",143.3,232.8
"MTS1A",2022,"USW00003131",138.4,143.3
"MTS1A",2023,"USW00003131",398.8,138.4
"MTS1A",2024,"USW00003131",306.4,398.8
"MTS3",2000,"USW00003131",133,153.4
"MTS3",2001,"USW00003131",156.9,133
"MTS3",2002,"USW00003131",68.7,156.9
"MTS3",2003,"USW00003131",223.7,68.7
"MTS3",2004,"USW00003131",135,223.7
"MTS3",2005,"USW00003131",397.7,135
"MTS3",2006,"USW00003131",125.9,397.7
"MTS3",2007,"USW00003131",115.5,125.9
"MTS3",2008,"USW00003131",227.2,115.5
"MTS3",2009,"USW00003131",285.2,227.2
"MTS3",2010,"USW00003131",310.1,285.2
"MTS3",2011,"USW00003131",331.9,310.1
"MTS3",2012,"USW00003131",179.1,331.9
"MTS3",2013,"USW00003131",168,179.1
"MTS3",2014,"USW00003131",77.4,168
"MTS3",2015,"USW00003131",65.2,77.4
"MTS3",2016,"USW00003131",232.9,65.2
"MTS3",2017,"USW00003131",385.2,232.9
"MTS3",2018,"USW00003131",90.8,385.2
"MTS3",2019,"USW00003131",290.7,90.8
"MTS3",2020,"USW00003131",232.8,290.7
"MTS3",2021,"USW00003131",143.3,232.8
"MTS3",2022,"USW00003131",138.4,143.3
"MTS3",2023,"USW00003131",398.8,138.4
"MTS3",2024,"USW00003131",306.4,398.8
"MTS6",2000,"USW00023188",132.4,119
"MTS6",2001,"USW00023188",166.6,132.4
"MTS6",2002,"USW00023188",59.9,166.6
"MTS6",2003,"USW00023188",217.4,59.9
"MTS6",2004,"USW00023188",116.5,217.4
"MTS6",2005,"USW00023188",426.5,116.5
"MTS6",2006,"USW00023188",81.3,426.5
"MTS6",2007,"USW00023188",65.7,81.3
"MTS6",2008,"USW00023188",167.2,65.7
"MTS6",2009,"USW00023188",222.7,167.2
"MTS6",2010,"USW00023188",222,222.7
"MTS6",2011,"USW00023188",247.8,222
"MTS6",2012,"USW00023188",166.5,247.8
"MTS6",2013,"USW00023188",140.8,166.5
"MTS6",2014,"USW00023188",107.7,140.8
"MTS6",2015,"USW00023188",165.3,107.7
"MTS6",2016,"USW00023188",163.9,165.3
"MTS6",2017,"USW00023188",295.5,163.9
"MTS6",2018,"USW00023188",80.9,295.5
"MTS6",2019,"USW00023188",286.8,80.9
"MTS6",2020,"USW00023188",248.3,286.8
"MTS6",2021,"USW00023188",108,248.3
"MTS6",2022,"USW00023188",128.3,108
"MTS6",2023,"USW00023188",343.9,128.3
"MTS6",2024,"USW00023188",309.4,343.9
"MTS7",2000,"USW00023188",132.4,119
"MTS7",2001,"USW00023188",166.6,132.4
"MTS7",2002,"USW00023188",59.9,166.6
"MTS7",2003,"USW00023188",217.4,59.9
"MTS7",2004,"USW00023188",116.5,217.4
"MTS7",2005,"USW00023188",426.5,116.5
"MTS7",2006,"USW00023188",81.3,426.5
"MTS7",2007,"USW00023188",65.7,81.3
"MTS7",2008,"USW00023188",167.2,65.7
"MTS7",2009,"USW00023188",222.7,167.2
"MTS7",2010,"USW00023188",222,222.7
"MTS7",2011,"USW00023188",247.8,222
"MTS7",2012,"USW00023188",166.5,247.8
"MTS7",2013,"USW00023188",140.8,166.5
"MTS7",2014,"USW00023188",107.7,140.8
"MTS7",2015,"USW00023188",165.3,107.7
"MTS7",2016,"USW00023188",163.9,165.3
"MTS7",2017,"USW00023188",295.5,163.9
"MTS7",2018,"USW00023188",80.9,295.5
"MTS7",2019,"USW00023188",286.8,80.9
"MTS7",2020,"USW00023188",248.3,286.8
"MTS7",2021,"USW00023188",108,248.3
"MTS7",2022,"USW00023188",128.3,108
"MTS7",2023,"USW00023188",343.9,128.3
"MTS7",2024,"USW00023188",309.4,343.9
"SWS3",2000,"USW00023188",132.4,119
"SWS3",2001,"USW00023188",166.6,132.4
"SWS3",2002,"USW00023188",59.9,166.6
"SWS3",2003,"USW00023188",217.4,59.9
"SWS3",2004,"USW00023188",116.5,217.4
"SWS3",2005,"USW00023188",426.5,116.5
"SWS3",2006,"USW00023188",81.3,426.5
"SWS3",2007,"USW00023188",65.7,81.3
"SWS3",2008,"USW00023188",167.2,65.7
"SWS3",2009,"USW00023188",222.7,167.2
"SWS3",2010,"USW00023188",222,222.7
"SWS3",2011,"USW00023188",247.8,222
"SWS3",2012,"USW00023188",166.5,247.8
"SWS3",2013,"USW00023188",140.8,166.5
"SWS3",2014,"USW00023188",107.7,140.8
"SWS3",2015,"USW00023188",165.3,107.7
"SWS3",2016,"USW00023188",163.9,165.3
"SWS3",2017,"USW00023188",295.5,163.9
"SWS3",2018,"USW00023188",80.9,295.5
"SWS3",2019,"USW00023188",286.8,80.9
"SWS3",2020,"USW00023188",248.3,286.8
"SWS3",2021,"USW00023188",108,248.3
"SWS3",2022,"USW00023188",128.3,108
"SWS3",2023,"USW00023188",343.9,128.3
"SWS3",2024,"USW00023188",309.4,343.9
"MTS2",2000,"USW00003131",133,153.4
"MTS2",2001,"USW00003131",156.9,133
"MTS2",2002,"USW00003131",68.7,156.9
"MTS2",2003,"USW00003131",223.7,68.7
"MTS2",2004,"USW00003131",135,223.7
"MTS2",2005,"USW00003131",397.7,135
"MTS2",2006,"USW00003131",125.9,397.7
"MTS2",2007,"USW00003131",115.5,125.9
"MTS2",2008,"USW00003131",227.2,115.5
"MTS2",2009,"USW00003131",285.2,227.2
"MTS2",2010,"USW00003131",310.1,285.2
"MTS2",2011,"USW00003131",331.9,310.1
"MTS2",2012,"USW00003131",179.1,331.9
"MTS2",2013,"USW00003131",168,179.1
"MTS2",2014,"USW00003131",77.4,168
"MTS2",2015,"USW00003131",65.2,77.4
"MTS2",2016,"USW00003131",232.9,65.2
"MTS2",2017,"USW00003131",385.2,232.9
"MTS2",2018,"USW00003131",90.8,385.2
"MTS2",2019,"USW00003131",290.7,90.8
"MTS2",2020,"USW00003131",232.8,290.7
"MTS2",2021,"USW00003131",143.3,232.8
"MTS2",2022,"USW00003131",138.4,143.3
"MTS2",2023,"USW00003131",398.8,138.4
"MTS2",2024,"USW00003131",306.4,398.8
"MTE2",2000,"USW00003131",133,153.4
"MTE2",2001,"USW00003131",156.9,133
"MTE2",2002,"USW00003131",68.7,156.9
"MTE2",2003,"USW00003131",223.7,68.7
"MTE2",2004,"USW00003131",135,223.7
"MTE2",2005,"USW00003131",397.7,135
"MTE2",2006,"USW00003131",125.9,397.7
"MTE2",2007,"USW00003131",115.5,125.9
"MTE2",2008,"USW00003131",227.2,115.5
"MTE2",2009,"USW00003131",285.2,227.2
"MTE2",2010,"USW00003131",310.1,285.2
"MTE2",2011,"USW00003131",331.9,310.1
"MTE2",2012,"USW00003131",179.1,331.9
"MTE2",2013,"USW00003131",168,179.1
"MTE2",2014,"USW00003131",77.4,168
"MTE2",2015,"USW00003131",65.2,77.4
"MTE2",2016,"USW00003131",232.9,65.2
"MTE2",2017,"USW00003131",385.2,232.9
"MTE2",2018,"USW00003131",90.8,385.2
"MTE2",2019,"USW00003131",290.7,90.8
"MTE2",2020,"USW00003131",232.8,290.7
"MTE2",2021,"USW00003131",143.3,232.8
"MTE2",2022,"USW00003131",138.4,143.3
"MTE2",2023,"USW00003131",398.8,138.4
"MTE2",2024,"USW00003131",306.4,398.8
"MTE3",2000,"USW00003131",133,153.4
"MTE3",2001,"USW00003131",156.9,133
"MTE3",2002,"USW00003131",68.7,156.9
"MTE3",2003,"USW00003131",223.7,68.7
"MTE3",2004,"USW00003131",135,223.7
"MTE3",2005,"USW00003131",397.7,135
"MTE3",2006,"USW00003131",125.9,397.7
"MTE3",2007,"USW00003131",115.5,125.9
"MTE3",2008,"USW00003131",227.2,115.5
"MTE3",2009,"USW00003131",285.2,227.2
"MTE3",2010,"USW00003131",310.1,285.2
"MTE3",2011,"USW00003131",331.9,310.1
"MTE3",2012,"USW00003131",179.1,331.9
"MTE3",2013,"USW00003131",168,179.1
"MTE3",2014,"USW00003131",77.4,168
"MTE3",2015,"USW00003131",65.2,77.4
"MTE3",2016,"USW00003131",232.9,65.2
"MTE3",2017,"USW00003131",385.2,232.9
"MTE3",2018,"USW00003131",90.8,385.2
"MTE3",2019,"USW00003131",290.7,90.8
"MTE3",2020,"USW00003131",232.8,290.7
"MTE3",2021,"USW00003131",143.3,232.8
"MTE3",2022,"USW00003131",138.4,143.3
"MTE3",2023,"USW00003131",398.8,138.4
"MTE3",2024,"USW00003131",306.4,398.8
"MTE4",2000,"USW00003131",133,153.4
"MTE4",2001,"USW00003131",156.9,133
"MTE4",2002,"USW00003131",68.7,156.9
"MTE4",2003,"USW00003131",223.7,68.7
"MTE4",2004,"USW00003131",135,223.7
"MTE4",2005,"USW00003131",397.7,135
"MTE4",2006,"USW00003131",125.9,397.7
"MTE4",2007,"USW00003131",115.5,125.9
"MTE4",2008,"USW00003131",227.2,115.5
"MTE4",2009,"USW00003131",285.2,227.2
"MTE4",2010,"USW00003131",310.1,285.2
"MTE4",2011,"USW00003131",331.9,310.1
"MTE4",2012,"USW00003131",179.1,331.9
"MTE4",2013,"USW00003131",168,179.1
"MTE4",2014,"USW00003131",77.4,168
"MTE4",2015,"USW00003131",65.2,77.4
"MTE4",2016,"USW00003131",232.9,65.2
"MTE4",2017,"USW00003131",385.2,232.9
"MTE4",2018,"USW00003131",90.8,385.2
"MTE4",2019,"USW00003131",290.7,90.8
"MTE4",2020,"USW00003131",232.8,290.7
"MTE4",2021,"USW00003131",143.3,232.8
"MTE4",2022,"USW00003131",138.4,143.3
"MTE4",2023,"USW00003131",398.8,138.4
"MTE4",2024,"USW00003131",306.4,398.8
"MTI2",2000,"USW00003131",133,153.4
"MTI2",2001,"USW00003131",156.9,133
"MTI2",2002,"USW00003131",68.7,156.9
"MTI2",2003,"USW00003131",223.7,68.7
"MTI2",2004,"USW00003131",135,223.7
"MTI2",2005,"USW00003131",397.7,135
"MTI2",2006,"USW00003131",125.9,397.7
"MTI2",2007,"USW00003131",115.5,125.9
"MTI2",2008,"USW00003131",227.2,115.5
"MTI2",2009,"USW00003131",285.2,227.2
"MTI2",2010,"USW00003131",310.1,285.2
"MTI2",2011,"USW00003131",331.9,310.1
"MTI2",2012,"USW00003131",179.1,331.9
"MTI2",2013,"USW00003131",168,179.1
"MTI2",2014,"USW00003131",77.4,168
"MTI2",2015,"USW00003131",65.2,77.4
"MTI2",2016,"USW00003131",232.9,65.2
"MTI2",2017,"USW00003131",385.2,232.9
"MTI2",2018,"USW00003131",90.8,385.2
"MTI2",2019,"USW00003131",290.7,90.8
"MTI2",2020,"USW00003131",232.8,290.7
"MTI2",2021,"USW00003131",143.3,232.8
"MTI2",2022,"USW00003131",138.4,143.3
"MTI2",2023,"USW00003131",398.8,138.4
"MTI2",2024,"USW00003131",306.4,398.8
"SWEA",2000,"USC00042706",98.3,100
"SWEA",2001,"USC00042706",219.5,98.3
"SWEA",2002,"USC00042706",38.9,219.5
"SWEA",2003,"USC00042706",133.2,38.9
"SWEA",2004,"USC00042706",144,133.2
"SWEA",2005,"USC00042706",355.8,144
"SWEA",2006,"USC00042706",24.7,355.8
"SWEA",2007,"USC00042706",76.8,24.7
"SWEA",2008,"USC00042706",236.7,76.8
"SWEA",2009,"USC00042706",284.1,236.7
"SWEA",2010,"USC00042706",286.9,284.1
"SWEA",2011,"USC00042706",399.7,286.9
"SWEA",2012,"USC00042706",219,399.7
"SWEA",2013,"USC00042706",182.3,219
"SWEA",2014,"USC00042706",80.7,182.3
"SWEA",2015,"USC00042706",138.1,80.7
"SWEA",2016,"USC00042706",211.4,138.1
"SWEA",2017,"USC00042706",364.9,211.4
"SWEA",2018,"USC00042706",111,364.9
"SWEA",2019,"USC00042706",397.5,111
"SWEA",2020,"USC00042706",327.2,397.5
"SWEA",2021,"USC00042706",175.3,327.2
"SWEA",2022,"USC00042706",191.8,175.3
"SWEA",2023,"USC00042706",497.4,191.8
"SWEA",2024,"USC00042706",394.4,497.4
"SWI2",2000,"USC00042706",98.3,100
"SWI2",2001,"USC00042706",219.5,98.3
"SWI2",2002,"USC00042706",38.9,219.5
"SWI2",2003,"USC00042706",133.2,38.9
"SWI2",2004,"USC00042706",144,133.2
"SWI2",2005,"USC00042706",355.8,144
"SWI2",2006,"USC00042706",24.7,355.8
"SWI2",2007,"USC00042706",76.8,24.7
"SWI2",2008,"USC00042706",236.7,76.8
"SWI2",2009,"USC00042706",284.1,236.7
"SWI2",2010,"USC00042706",286.9,284.1
"SWI2",2011,"USC00042706",399.7,286.9
"SWI2",2012,"USC00042706",219,399.7
"SWI2",2013,"USC00042706",182.3,219
"SWI2",2014,"USC00042706",80.7,182.3
"SWI2",2015,"USC00042706",138.1,80.7
"SWI2",2016,"USC00042706",211.4,138.1
"SWI2",2017,"USC00042706",364.9,211.4
"SWI2",2018,"USC00042706",111,364.9
"SWI2",2019,"USC00042706",397.5,111
"SWI2",2020,"USC00042706",327.2,397.5
"SWI2",2021,"USC00042706",175.3,327.2
"SWI2",2022,"USC00042706",191.8,175.3
"SWI2",2023,"USC00042706",497.4,191.8
"SWI2",2024,"USC00042706",394.4,497.4
"SWI4",2000,"USC00042706",98.3,100
"SWI4",2001,"USC00042706",219.5,98.3
"SWI4",2002,"USC00042706",38.9,219.5
"SWI4",2003,"USC00042706",133.2,38.9
"SWI4",2004,"USC00042706",144,133.2
"SWI4",2005,"USC00042706",355.8,144
"SWI4",2006,"USC00042706",24.7,355.8
"SWI4",2007,"USC00042706",76.8,24.7
"SWI4",2008,"USC00042706",236.7,76.8
"SWI4",2009,"USC00042706",284.1,236.7
"SWI4",2010,"USC00042706",286.9,284.1
"SWI4",2011,"USC00042706",399.7,286.9
"SWI4",2012,"USC00042706",219,399.7
"SWI4",2013,"USC00042706",182.3,219
"SWI4",2014,"USC00042706",80.7,182.3
"SWI4",2015,"USC00042706",138.1,80.7
"SWI4",2016,"USC00042706",211.4,138.1
"SWI4",2017,"USC00042706",364.9,211.4
"SWI4",2018,"USC00042706",111,364.9
"SWI4",2019,"USC00042706",397.5,111
"SWI4",2020,"USC00042706",327.2,397.5
"SWI4",2021,"USC00042706",175.3,327.2
"SWI4",2022,"USC00042706",191.8,175.3
"SWI4",2023,"USC00042706",497.4,191.8
"SWI4",2024,"USC00042706",394.4,497.4
"ECR4",2000,"USW00003131",133,153.4
"ECR4",2001,"USW00003131",156.9,133
"ECR4",2002,"USW00003131",68.7,156.9
"ECR4",2003,"USW00003131",223.7,68.7
"ECR4",2004,"USW00003131",135,223.7
"ECR4",2005,"USW00003131",397.7,135
"ECR4",2006,"USW00003131",125.9,397.7
"ECR4",2007,"USW00003131",115.5,125.9
"ECR4",2008,"USW00003131",227.2,115.5
"ECR4",2009,"USW00003131",285.2,227.2
"ECR4",2010,"USW00003131",310.1,285.2
"ECR4",2011,"USW00003131",331.9,310.1
"ECR4",2012,"USW00003131",179.1,331.9
"ECR4",2013,"USW00003131",168,179.1
"ECR4",2014,"USW00003131",77.4,168
"ECR4",2015,"USW00003131",65.2,77.4
"ECR4",2016,"USW00003131",232.9,65.2
"ECR4",2017,"USW00003131",385.2,232.9
"ECR4",2018,"USW00003131",90.8,385.2
"ECR4",2019,"USW00003131",290.7,90.8
"ECR4",2020,"USW00003131",232.8,290.7
"ECR4",2021,"USW00003131",143.3,232.8
"ECR4",2022,"USW00003131",138.4,143.3
"ECR4",2023,"USW00003131",398.8,138.4
"ECR4",2024,"USW00003131",306.4,398.8
"ECR5",2000,"USW00003131",133,153.4
"ECR5",2001,"USW00003131",156.9,133
"ECR5",2002,"USW00003131",68.7,156.9
"ECR5",2003,"USW00003131",223.7,68.7
"ECR5",2004,"USW00003131",135,223.7
"ECR5",2005,"USW00003131",397.7,135
"ECR5",2006,"USW00003131",125.9,397.7
"ECR5",2007,"USW00003131",115.5,125.9
"ECR5",2008,"USW00003131",227.2,115.5
"ECR5",2009,"USW00003131",285.2,227.2
"ECR5",2010,"USW00003131",310.1,285.2
"ECR5",2011,"USW00003131",331.9,310.1
"ECR5",2012,"USW00003131",179.1,331.9
"ECR5",2013,"USW00003131",168,179.1
"ECR5",2014,"USW00003131",77.4,168
"ECR5",2015,"USW00003131",65.2,77.4
"ECR5",2016,"USW00003131",232.9,65.2
"ECR5",2017,"USW00003131",385.2,232.9
"ECR5",2018,"USW00003131",90.8,385.2
"ECR5",2019,"USW00003131",290.7,90.8
"ECR5",2020,"USW00003131",232.8,290.7
"ECR5",2021,"USW00003131",143.3,232.8
"ECR5",2022,"USW00003131",138.4,143.3
"ECR5",2023,"USW00003131",398.8,138.4
"ECR5",2024,"USW00003131",306.4,398.8
"ECR1",2000,"USW00003131",133,153.4
"ECR1",2001,"USW00003131",156.9,133
"ECR1",2002,"USW00003131",68.7,156.9
"ECR1",2003,"USW00003131",223.7,68.7
"ECR1",2004,"USW00003131",135,223.7
"ECR1",2005,"USW00003131",397.7,135
"ECR1",2006,"USW00003131",125.9,397.7
"ECR1",2007,"USW00003131",115.5,125.9
"ECR1",2008,"USW00003131",227.2,115.5
"ECR1",2009,"USW00003131",285.2,227.2
"ECR1",2010,"USW00003131",310.1,285.2
"ECR1",2011,"USW00003131",331.9,310.1
"ECR1",2012,"USW00003131",179.1,331.9
"ECR1",2013,"USW00003131",168,179.1
"ECR1",2014,"USW00003131",77.4,168
"ECR1",2015,"USW00003131",65.2,77.4
"ECR1",2016,"USW00003131",232.9,65.2
"ECR1",2017,"USW00003131",385.2,232.9
"ECR1",2018,"USW00003131",90.8,385.2
"ECR1",2019,"USW00003131",290.7,90.8
"ECR1",2020,"USW00003131",232.8,290.7
"ECR1",2021,"USW00003131",143.3,232.8
"ECR1",2022,"USW00003131",138.4,143.3
"ECR1",2023,"USW00003131",398.8,138.4
"ECR1",2024,"USW00003131",306.4,398.8
"ECR2",2000,"USW00003131",133,153.4
"ECR2",2001,"USW00003131",156.9,133
"ECR2",2002,"USW00003131",68.7,156.9
"ECR2",2003,"USW00003131",223.7,68.7
"ECR2",2004,"USW00003131",135,223.7
"ECR2",2005,"USW00003131",397.7,135
"ECR2",2006,"USW00003131",125.9,397.7
"ECR2",2007,"USW00003131",115.5,125.9
"ECR2",2008,"USW00003131",227.2,115.5
"ECR2",2009,"USW00003131",285.2,227.2
"ECR2",2010,"USW00003131",310.1,285.2
"ECR2",2011,"USW00003131",331.9,310.1
"ECR2",2012,"USW00003131",179.1,331.9
"ECR2",2013,"USW00003131",168,179.1
"ECR2",2014,"USW00003131",77.4,168
"ECR2",2015,"USW00003131",65.2,77.4
"ECR2",2016,"USW00003131",232.9,65.2
"ECR2",2017,"USW00003131",385.2,232.9
"ECR2",2018,"USW00003131",90.8,385.2
"ECR2",2019,"USW00003131",290.7,90.8
"ECR2",2020,"USW00003131",232.8,290.7
"ECR2",2021,"USW00003131",143.3,232.8
"ECR2",2022,"USW00003131",138.4,143.3
"ECR2",2023,"USW00003131",398.8,138.4
"ECR2",2024,"USW00003131",306.4,398.8
